exampleSentence,partOfSpeech,sentimentTag,sentimentStrength,tokens
Barang yang diimport itu akan melalui pemeriksaan kastam.,noun,neutral,0.0,"['barang', 'yang', 'diimport', 'itu', 'akan', 'melalui', 'pemeriksaan', 'kastam', '.']"
Saya perlu membeli phone baru.,noun,neutral,0.0,"['saya', 'perlu', 'membeli', 'phone', 'baru', '.']"
Inilah yang saya cari selama ini.,demonstrative pronoun,neutral,0.0,"['inilah', 'yang', 'saya', 'cari', 'selama', 'ini', '.']"
This is my book.,demonstrative pronoun,neutral,0.0,"['this', 'is', 'my', 'book', '.']"
Ramai .orang hadir ke majlis itu.,noun,neutral,0.0,"['ramai', '.', 'orang', 'hadir', 'ke', 'majlis', 'itu', '.']"
Awak bole datang esok?,modal verb,neutral,0.0,"['awak', 'bole', 'datang', 'esok', '?']"
Apakah pendapat ANDA tentang isu ini?,pronoun,neutral,0.0,"['apakah', 'pendapat', 'anda', 'tentang', 'isu', 'ini', '?']"
"Dia membeli epal,, oren dan pisang.",punctuation,neutral,0.0,"['dia', 'membeli', 'epal', ',', 'oren', 'dan', 'pisang', '.']"
Kami meletakkan harapan yang tinggi terhadap projek ini.,noun,positive,0.7,"['kami', 'meletakkan', 'harapan', 'yang', 'tinggi', 'terhadap', 'projek', 'ini', '.']"
Dia Selalu datang awal ke pejabat.,adverb,neutral,0.0,"['dia', 'selalu', 'datang', 'awal', 'ke', 'pejabat', '.']"
Polis berjaya menumpaskan cubaan seludup dadah.,verb,negative,-0.8,"['polis', 'berjaya', 'menumpaskan', 'cubaan', 'seludup', 'dadah', '.']"
Awak dari mana?,interrogative pronoun,neutral,0.0,"['awak', 'dari', 'mana', '?']"
Beberapa orang pelajar telah hadir.,determiner,neutral,0.0,"['beberapa', 'orang', 'pelajar', 'telah', 'hadir', '.']"
Sepatutnya dia sudah sampai sekarang.,adverb,neutral,0.0,"['sepatutnya', 'dia', 'sudah', 'sampai', 'sekarang', '.']"
Kerja awak memang ✌️👌👍!,emoji,positive,0.9,"['kerja', 'awak', 'memang', 'victory', 'handok', 'handthumbs', 'up', '!']"
"Kes itu akan dibawa ke mahkamah, pada minggu depan.",noun,neutral,0.0,"['kes', 'itu', 'akan', 'dibawa', 'ke', 'mahkamah', ',', 'pada', 'minggu', 'depan', '.']"
Mari kita.. pergi bersama.,pronoun,neutral,0.0,"['mari', 'kita', '.', 'pergi', 'bersama', '.']"
"Dia makan nasi, ..pastu minum air.",adverb,neutral,0.0,"['dia', 'makan', 'nasi', ',', '.', 'pastu', 'minum', 'air', '.']"
"Jangan jadi Bodo, fikirkan baik-baik.",adjective,negative,-0.7,"['jangan', 'jadi', 'bodo', ',', 'fikirkan', 'baik', '-', 'baik', '.']"
Dia ingin mnjadi doktor apabila dewasa nanti.,verb,neutral,0.0,"['dia', 'ingin', 'mnjadi', 'doktor', 'apabila', 'dewasa', 'nanti', '.']"
"Berita tentang perampok,,takut itu tersebar luas.",noun,negative,-0.9,"['berita', 'tentang', 'perampok', ',', 'takut', 'itu', 'tersebar', 'luas', '.']"
Dia de kat sana ke?,colloquialism,neutral,0.0,"['dia', 'de', 'kat', 'sana', 'ke', '?']"
We will be together forever.,adverb,neutral,0.0,"['we', 'will', 'be', 'together', 'forever', '.']"
Dia datang jugak.. walaupun lambat.,adverb,neutral,0.0,"['dia', 'datang', 'jugak', '.', 'walaupun', 'lambat', '.']"
Dia meletakkan taruhan. yang besar pada perlumbaan itu.,noun,neutral,0.0,"['dia', 'meletakkan', 'taruhan', '.', 'yang', 'besar', 'pada', 'perlumbaan', 'itu', '.']"
Dia mengatakan bahwa dia akan datang.,conjunction,neutral,0.0,"['dia', 'mengatakan', 'bahwa', 'dia', 'akan', 'datang', '.']"
Kereta itu bergerak terlalu laju.,adjective,neutral,0.0,"['kereta', 'itu', 'bergerak', 'terlalu', 'laju', '.']"
"Hola, apa khabar?",interjection,positive,0.3,"['hola', ',', 'apa', 'khabar', '?']"
Anjing-anjing di jalan itu kelihatan kelaparan.,noun,negative,-0.4,"['anjing', '-', 'anjing', 'di', 'jalan', 'itu', 'kelihatan', 'kelaparan', '.']"
Pasai apa dia tak datang?,preposition,neutral,0.0,"['pasai', 'apa', 'dia', 'tak', 'datang', '?']"
"Kenapa dia tak datang? Xdak,tulaa.",colloquialism,neutral,0.0,"['kenapa', 'dia', 'tak', 'datang', '?', 'xdak', ',', 'tulaa', '.']"
Duit saya xde dalam dompet.,colloquialism,neutral,0.0,"['duit', 'saya', 'xde', 'dalam', 'dompet', '.']"
Semua makhluk hidup perlu air.,"verb, adjective",positive,0.5,"['semua', 'makhluk', 'hidup', 'perlu', 'air', '.']"
Keputusan itu tetap tidak boleh diubah.,"adjective, adverb",neutral,0.0,"['keputusan', 'itu', 'tetap', 'tidak', 'boleh', 'diubah', '.']"
Saya baru membeli car. baru.,noun,neutral,0.0,"['saya', 'baru', 'membeli', 'car', '.', 'baru', '.']"
Dia memandu slow2...kuku di jalan yang licin.,colloquialism,neutral,0.0,"['dia', 'memandu', 'slow2', '.', 'kuku', 'di', 'jalan', 'yang', 'licin', '.']"
Mesyuarat itu berlangsung selama tiga puluh minit.,noun,neutral,0.0,"['mesyuarat', 'itu', 'berlangsung', 'selama', 'tiga', 'puluh', 'minit', '.']"
Dia hampir mampus dilanggar kereta.,"verb, exclamation",negative,-0.9,"['dia', 'hampir', 'mampus', 'dilanggar', 'kereta', '.']"
Produk D9 telah dilancarkan di pasaran.,code,neutral,0.0,"['produk', 'd9', 'telah', 'dilancarkan', 'di', 'pasaran', '.']"
Pihak polis berjaya menangkap pnyamun itu.,noun,negative,-0.9,"['pihak', 'polis', 'berjaya', 'menangkap', 'pnyamun', 'itu', '.']"
"Buku ni, saya punya.",demonstrative pronoun,neutral,0.0,"['buku', 'ni', ',', 'saya', 'punya', '.']"
Kami akan makan malam di restoran itu.,verb,neutral,0.0,"['kami', 'akan', 'makan', 'malam', 'di', 'restoran', 'itu', '.']"
Apa time kita nak jumpa?,noun,neutral,0.0,"['apa', 'time', 'kita', 'nak', 'jumpa', '?']"
Perkara tersebut. perlu diberi perhatian.,"adjective, determiner",neutral,0.0,"['perkara', 'tersebut', '.', 'perlu', 'diberi', 'perhatian', '.']"
Arahan yang diberikan sangat jelas.,adjective,positive,0.4,"['arahan', 'yang', 'diberikan', 'sangat', 'jelas', '.']"
