tokens,partOfSpeech,sentimentTag,sentimentStrength,overallSentenceTag,overallSentenceStrength
"['barang', 'yang', 'diimport', 'itu', 'akan', 'melalui', 'pemeriksaan', 'kastam', '.']","['noun', 'pronoun, conjunction', 'unknown', 'demonstrative pronoun', 'auxiliary verb', 'unknown', 'unknown', 'noun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['saya', 'perlu', 'membeli', 'phone', 'baru', '.']","['pronoun', 'verb/adjective', 'unknown', 'noun', 'adjective, adverb', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['inilah', 'yang', 'saya', 'cari', 'selama', 'ini', '.']","['demonstrative pronoun', 'pronoun, conjunction', 'pronoun', 'verb', 'unknown', 'demonstrative pronoun', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['this', 'is', 'my', 'book', '.']","['demonstrative pronoun', 'verb', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['ramai', '.orang', 'hadir', 'ke', 'majlis', 'itu', '.']","['adjective', 'noun', 'unknown', 'particle (interrogative)', 'unknown', 'demonstrative pronoun', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown']","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['awak', 'bole', 'datang', 'esok', '?']","['unknown', 'modal verb', 'verb', 'unknown', 'punctuation']","['unknown', 'neutral', 'neutral', 'unknown', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['apakah', 'pendapat', 'anda', 'tentang', 'isu', 'ini', '?']","['unknown', 'unknown', 'pronoun', 'unknown', 'unknown', 'demonstrative pronoun', 'punctuation']","['unknown', 'unknown', 'neutral', 'unknown', 'unknown', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'membeli', 'epal', ',', ',', 'oren', 'dan', 'pisang', '.']","['pronoun', 'unknown', 'unknown', 'punctuation', 'punctuation', 'unknown', 'conjunction', 'unknown', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kami', 'meletakkan', 'harapan', 'yang', 'tinggi', 'terhadap', 'projek', 'ini', '.']","['unknown', 'unknown', 'noun', 'pronoun, conjunction', 'adjective', 'unknown', 'unknown', 'demonstrative pronoun', 'unknown']","['unknown', 'unknown', 'positive', 'neutral', 'neutral', 'unknown', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.7
"['dia', 'selalu', 'datang', 'awal', 'ke', 'pejabat', '.']","['pronoun', 'adverb', 'verb', 'unknown', 'particle (interrogative)', 'unknown', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['polis', 'berjaya', 'menumpaskan', 'cubaan', 'seludup', 'dadah', '.']","['noun', 'unknown', 'unknown', 'noun', 'verb', 'noun', 'unknown']","['neutral', 'unknown', 'unknown', 'neutral', 'negative', 'negative', 'unknown']","[0.0, 0.0, 0.0, 0.0, -0.8, -0.8, 0.0]",negative,-0.8
"['awak', 'dari', 'mana', '?']","['unknown', 'preposition', 'interrogative pronoun', 'punctuation']","['unknown', 'neutral', 'neutral', 'neutral']","[0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['beberapa', 'orang', 'pelajar', 'telah', 'hadir', '.']","['determiner', 'noun', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['sepatutnya', 'dia', 'sudah', 'sampai', 'sekarang', '.']","['adverb', 'pronoun', 'adverb', 'verb', 'adverb', 'unknown']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['kerja', 'awak', 'memang', 'victory', 'handok', 'handthumbs', 'up', '!']","['verb', 'unknown', 'adverb', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","['neutral', 'unknown', 'neutral', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",positive,0.9
"['kes', 'itu', 'akan', 'dibawa', 'ke', 'mahkamah', ',', 'pada', 'minggu', 'depan', '.']","['noun', 'demonstrative pronoun', 'auxiliary verb', 'unknown', 'particle (interrogative)', 'unknown', 'punctuation', 'preposition', 'unknown', 'noun', 'unknown']","['neutral', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'neutral', 'unknown', 'neutral', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['mari', 'kita', '.', 'pergi', 'bersama', '.']","['unknown', 'pronoun', 'unknown', 'verb', 'unknown', 'unknown']","['unknown', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['dia', 'makan', 'nasi', ',', '.pastu', 'minum', 'air', '.']","['pronoun', 'verb', 'unknown', 'punctuation', 'unknown', 'verb', 'unknown', 'unknown']","['neutral', 'neutral', 'unknown', 'neutral', 'unknown', 'neutral', 'unknown', 'unknown']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",neutral,0.0
"['jangan', 'jadi', 'bodo', ',', 'fikirkan', 'baik', '-', 'baik', '.']","['particle', 'verb / conjunction', 'adjective', 'punctuation', 'unknown', 'adjective', 'punctuation', 'adjective', 'unknown']","['neutral', 'neutral', 'negative', 'neutral', 'unknown', 'positive', 'neutral', 'positive', 'unknown']","[0.0, 0.0, -0.7, 0.0, 0.0, 0.8, 0.0, 0.8, 0.0]",negative,-0.7
